,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1950,ABALONES **,"791,000",359,"369,244","3,692,440",Public,Commercial
1950,ALEWIFE,"47,326,500","21,467","757,043","7,570,430",Public,Commercial
1950,AMBERJACKS **,"44,800",20,"1,955","19,550",Public,Commercial
1950,ANCHOVIES **,"5,052,700","2,292","117,633","1,176,330",Public,Commercial
1950,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","2,353,800","1,068","334,105","3,341,050",Public,Commercial
1950,"BASS, BLACK SEA","12,974,500","5,885","1,496,146","14,961,460",Public,Commercial
1950,"BASS, ROCK","3,400",2,640,"6,400",Public,Commercial
1950,"BASS, STRIPED","7,731,100","3,507","1,369,181","13,691,810",Public,Commercial
1950,"BASS, WHITE","10,300",5,"1,085","10,850",Public,Commercial
1950,"BASS, WHITE SEA","1,531,300",695,"321,572","3,215,720",Public,Commercial
1950,BLUEFISH,"4,687,100","2,126","700,715","7,007,150",Public,Commercial
1950,"BONITO, ATLANTIC","123,500",56,"9,728","97,280",Public,Commercial
1950,"BONITO, PACIFIC","695,600",316,"67,703","677,030",Public,Commercial
1950,BOWFIN,"27,400",12,590,"5,900",Public,Commercial
1950,BUFFALOFISHES **,"858,000",389,"88,110","881,100",Public,Commercial
1950,BURBOT,"14,100",6,422,"4,220",Public,Commercial
1950,"BUTTERCLAM, WASHINGTON","46,700",21,"12,696","126,960",Public,Commercial
1950,CABEZON,"21,700",10,556,"5,560",Public,Commercial
1950,"CABRILLA, SPOTTED","283,600",129,"34,555","345,550",Public,Commercial
1950,"CARP, COMMON","3,281,900","1,489","162,872","1,628,720",Public,Commercial
1950,"CATFISHES, FORKTAIL **","82,300",37,"15,638","156,380",Public,Commercial
1950,"CATFISHES, SEA **","789,100",358,"35,826","358,260",Public,Commercial
1950,"CATFISHES-BULLHEADS, OTHER **","7,540,900","3,421","1,208,786","12,087,860",Public,Commercial
1950,CHUBS **,"10,800",5,"4,314","43,140",Public,Commercial
1950,"CLAM, PACIFIC LITTLENECK","186,700",85,"62,732","627,320",Public,Commercial
1950,"CLAM, PACIFIC RAZOR","2,464,717","1,118","432,585","4,325,850",Public,Commercial
1950,"CLAM, QUAHOG, OCEAN","220,700",100,"18,393","183,930",Public,Commercial
1950,"CLAM, RAZOR, ATLANTIC","78,200",35,"18,245","182,450",Public,Commercial
1950,"CLAM, SOFT","9,389,800","4,259","2,158,733","21,587,330",Public,Commercial
1950,"CLAM, SURF, ATLANTIC","7,741,900","3,512","764,275","7,642,750",Public,Commercial
1950,CLAMS **,"52,300",24,"19,896","198,960",Public,Commercial
1950,"CLAMS, QUAHOG, MERCENARIA **","20,801,900","9,436","7,247,240","72,472,400",Public,Commercial
1950,COBIA,"55,500",25,"4,417","44,170",Public,Commercial
1950,"COCKLE, NUTTALL","73,200",33,"4,392","43,920",Public,Commercial
1950,"COD, ATLANTIC","57,490,400","26,077","3,622,665","36,226,650",Public,Commercial
1950,"COD, PACIFIC","7,945,918","3,604","295,343","2,953,430",Public,Commercial
1950,"CONCHS, TRUE **","416,400",189,"54,215","542,150",Public,Commercial
1950,"CRAB, ATLANTIC ROCK","3,714,100","1,685","121,100","1,211,000",Public,Commercial
1950,"CRAB, BLUE","126,073,400","57,187","5,881,172","58,811,720",Public,Commercial
1950,"CRAB, DUNGENESS","27,929,825","12,669","3,110,258","31,102,580",Public,Commercial
1950,"CRAB, FLORIDA STONE","41,500",19,"27,050","270,500",Public,Commercial
1950,"CRAB, HORSESHOE","1,350,000",612,"5,400","54,000",Public,Commercial
1950,"CRAB, KING **","1,519,249",689,"91,155","911,550",Public,Commercial
1950,CRAPPIES **,"1,600",1,87,870,Public,Commercial
1950,"CRAYFISHES, FRESHWATER **","63,700",29,"9,930","99,300",Public,Commercial
1950,"CROAKER, ATLANTIC","11,514,000","5,223","1,678,360","16,783,600",Public,Commercial
1950,"CROAKER, PACIFIC WHITE","747,400",339,"35,621","356,210",Public,Commercial
1950,CUNNER,"7,500",3,231,"2,310",Public,Commercial
1950,CUSK,"3,818,100","1,732","145,471","1,454,710",Public,Commercial
1950,DOLPHINFISH **,"5,900",3,590,"5,900",Public,Commercial
1950,"DRUM, BLACK","1,247,500",566,"117,971","1,179,710",Public,Commercial
1950,"DRUM, FRESHWATER","975,400",442,"78,262","782,620",Public,Commercial
1950,"DRUM, RED","2,659,700","1,206","423,329","4,233,290",Public,Commercial
1950,"EEL, AMERICAN","2,105,800",955,"290,263","2,902,630",Public,Commercial
1950,"EEL, CONGER","91,200",41,"2,321","23,210",Public,Commercial
1950,FLATFISHES **,"8,534,066","3,871","916,573","9,165,730",Public,Commercial
1950,"FLOUNDER, AMERICAN PLAICE","6,794,400","3,082","416,875","4,168,750",Public,Commercial
1950,"FLOUNDER, SUMMER","11,296,500","5,124","1,897,140","18,971,400",Public,Commercial
1950,"FLOUNDER, WINTER","27,586,600","12,513","3,042,074","30,420,740",Public,Commercial
1950,"FLOUNDER, WITCH","7,030,500","3,189","527,922","5,279,220",Public,Commercial
1950,"FLOUNDER, YELLOWTAIL","24,114,900","10,938","2,568,673","25,686,730",Public,Commercial
1950,FLYINGFISHES **,"60,700",28,"4,815","48,150",Public,Commercial
1950,GARFISHES **,"320,000",145,"16,188","161,880",Public,Commercial
1950,GOATFISHES **,"50,000",23,"2,860","28,600",Public,Commercial
1950,GOOSEFISH,"81,200",37,"4,010","40,100",Public,Commercial
1950,"GROUPER, GOLIATH","125,700",57,"7,357","73,570",Public,Commercial
1950,"GROUPER, WARSAW","184,700",84,"16,480","164,800",Public,Commercial
1950,"GROUPERS, SERRANIDAE (FAMILY) **","6,825,000","3,096","662,041","6,620,410",Public,Commercial
1950,"GRUNTS, HAEMULIDAE (FAMILY) **","89,900",41,"6,083","60,830",Public,Commercial
1950,HADDOCK,"158,558,800","71,922","11,833,865","118,338,650",Public,Commercial
1950,"HAKE, PACIFIC (WHITING)","9,500",4,184,"1,840",Public,Commercial
1950,"HAKE, RED","3,425,900","1,554","72,106","721,060",Public,Commercial
1950,"HAKE, SILVER","67,331,700","30,541","1,446,707","14,467,070",Public,Commercial
1950,"HAKE, WHITE","14,066,000","6,380","513,621","5,136,210",Public,Commercial
1950,"HALIBUT, ATLANTIC","537,600",244,"112,652","1,126,520",Public,Commercial
1950,"HALIBUT, CALIFORNIA","1,092,700",496,"224,622","2,246,220",Public,Commercial
1950,"HALIBUT, PACIFIC","51,092,502","23,175","8,344,127","83,441,270",Public,Commercial
1950,"HARVESTFISH, NORTHERN","792,800",360,"53,141","531,410",Public,Commercial
1950,HARVESTFISHES **,"6,322,600","2,868","577,142","5,771,420",Public,Commercial
1950,"HERRING, ATLANTIC","196,534,200","89,147","1,371,914","13,719,140",Public,Commercial
1950,"HERRING, ATLANTIC THREAD","32,000",15,240,"2,400",Public,Commercial
1950,"HERRING, LAKE OR CISCO","4,500",2,"1,807","18,070",Public,Commercial
1950,"HERRING, PACIFIC","167,230,843","75,855","2,104,998","21,049,980",Public,Commercial
1950,HOGCHOKER,"8,700",4,261,"2,610",Public,Commercial
1950,HOGFISH,"21,800",10,"2,398","23,980",Public,Commercial
1950,JACK MACKEREL,"133,255,700","60,444","2,571,869","25,718,690",Public,Commercial
1950,"JACK, CREVALLE","612,400",278,"12,290","122,900",Public,Commercial
1950,"JACK, YELLOWTAIL","3,529,800","1,601","314,334","3,143,340",Public,Commercial
1950,KINGFISHES **,"3,306,400","1,500","270,524","2,705,240",Public,Commercial
1950,LADYFISH,"494,300",224,"14,860","148,600",Public,Commercial
1950,"LANCE, AMERICAN SAND","128,600",58,"4,040","40,400",Public,Commercial
1950,LINGCOD,"7,210,710","3,271","520,423","5,204,230",Public,Commercial
1950,"LOBSTER, AMERICAN","23,197,900","10,522","8,346,062","83,460,620",Public,Commercial
1950,"LOBSTER, CALIFORNIA SPINY","933,500",423,"296,066","2,960,660",Public,Commercial
1950,"LOBSTER, CARIBBEAN SPINY","1,559,700",707,"280,740","2,807,400",Public,Commercial
1950,"MACKEREL, ATLANTIC","22,093,100","10,021","2,057,989","20,579,890",Public,Commercial
1950,"MACKEREL, FRIGATE","60,600",27,"1,803","18,030",Public,Commercial
1950,"MACKEREL, KING AND CERO **","1,637,400",743,"224,689","2,246,890",Public,Commercial
1950,"MACKEREL, SPANISH","6,335,000","2,874","590,300","5,903,000",Public,Commercial
1950,MACKERELS **,"32,651,400","14,811","794,619","7,946,190",Public,Commercial
1950,MENHADENS **,"1,026,317,600","465,535","10,402,294","104,022,940",Public,Commercial
1950,MINNOWS **,"34,900",16,"2,938","29,380",Public,Commercial
1950,MOJARRAS **,"533,900",242,"27,337","273,370",Public,Commercial
1950,"MULLET, STRIPED","35,023,700","15,887","3,631,214","36,312,140",Public,Commercial
1950,"MUSSEL, CALIFORNIA",300,0,109,"1,090",Public,Commercial
1950,"MUSSEL, SEA","760,800",345,"70,783","707,830",Public,Commercial
1950,OCTOPUSES **,"96,500",44,"5,728","57,280",Public,Commercial
1950,"OYSTER, EASTERN","68,192,100","30,932","27,391,974","273,919,740",Public,Commercial
1950,"OYSTER, OLYMPIA","143,100",65,"203,120","2,031,200",Public,Commercial
1950,"OYSTER, PACIFIC","8,079,700","3,665","2,001,417","20,014,170",Public,Commercial
1950,PADDLEFISH,"46,800",21,"6,242","62,420",Public,Commercial
1950,"PERCH, SAND","27,200",12,"1,416","14,160",Public,Commercial
1950,"PERCH, WHITE","2,599,800","1,179","218,901","2,189,010",Public,Commercial
1950,"PERCH, YELLOW","257,600",117,"33,335","333,350",Public,Commercial
1950,PERIWINKLES,"3,200",1,"1,035","10,350",Public,Commercial
1950,PERMIT,"11,600",5,630,"6,300",Public,Commercial
1950,PIGFISH,"322,100",146,"12,107","121,070",Public,Commercial
1950,PIKES **,"18,200",8,"3,233","32,330",Public,Commercial
1950,PINFISH,"459,700",209,"3,526","35,260",Public,Commercial
1950,POLLOCK,"25,648,400","11,634","830,222","8,302,220",Public,Commercial
1950,"POLYCHAETE, BLOODWORMS","311,500",141,"242,118","2,421,180",Public,Commercial
1950,"POLYCHAETE, SANDWORMS **","57,700",26,"38,683","386,830",Public,Commercial
