"Year","Place Name","Paid Fishing License Holders","Resident Fishing Licenses, Tags, Permits and Stamps","Non-Resident Fishing Licenses,
Tags, Permits and Stamps","Gross Cost ($2024) - Fishing Licenses","Cost ($2024)- Resident Fishing Licenses,Tags, Permits and Stamps","Cost ($2024) - Non-Resident Fishing Licenses,Tags, Permits and Stamps"
"2025-01-01 00:00:00","ALABAMA",619859,675650,191304,18670811,12161698,6509113
"2025-01-01 00:00:00","ALASKA",472881,220984,458584,19581839,3164819,16417019
"2025-01-01 00:00:00","AMERICAN SAMOA",0,0,0,,,
"2025-01-01 00:00:00","ARIZONA",406280,301245,120024,13923123,8306625,5616498
"2025-01-01 00:00:00","ARKANSAS",545823,470527,211618,9681880,4869433,4812447
"2025-01-01 00:00:00","CALIFORNIA",1501839,2266773,150852,69803103,65001501,4801602
"2025-01-01 00:00:00","COLORADO",873791,746947,461644,28117787,16507033,11610754
"2025-01-01 00:00:00","CONNECTICUT",135944,260353,22033,4112045,3481978,630066
"2025-01-01 00:00:00","DELAWARE",82780,58252,45603,1469786,602841,866945
"2025-01-01 00:00:00","DISTRICT OF COLUMBIA",6543,1391,5152,80886,13910,66976
"2025-01-01 00:00:00","FLORIDA",1697422,1700758,922196,48341875,22818494,25523381
"2025-01-01 00:00:00","GEORGIA",1116035,1375444,218383,15808302,12398779,3409523
"2025-01-01 00:00:00","GUAM",0,0,0,,,
"2025-01-01 00:00:00","HAWAII",4881,4078,1235,31182,16552,14630
"2025-01-01 00:00:00","IDAHO",547109,741721,286734,19844504,10897091,8947413
"2025-01-01 00:00:00","ILLINOIS",578789,642175,59716,8301315,6995514,1305801
"2025-01-01 00:00:00","INDIANA",550758,426391,67515,10572148,8377338,2194810
"2025-01-01 00:00:00","IOWA",337636,324679,59640,9603948,7777367,1826581
"2025-01-01 00:00:00","KANSAS",232023,185534,46489,6210037,4823090,1386947
"2025-01-01 00:00:00","KENTUCKY",522801,471879,75011,10312480,7717060,2595420
"2025-01-01 00:00:00","LOUISIANA",722632,600067,201637,14707962,7805231,6902731
"2025-01-01 00:00:00","MAINE",349919,189696,87498,8919213,5335635,3583578
"2025-01-01 00:00:00","MARYLAND",277490,331324,91624,8392312,6080661,2311651
"2025-01-01 00:00:00","MASSACHUSETTS",267048,415352,53640,7445195,6644127,801068
"2025-01-01 00:00:00","MICHIGAN",1090840,888204,237683,27948792,19272489,8676303
"2025-01-01 00:00:00","MINNESOTA",1326301,1143571,342765,35738120,23642928,12095192
"2025-01-01 00:00:00","MISSISSIPPI",324673,323211,72653,6528119,4544004,1984115
"2025-01-01 00:00:00","MISSOURI",725346,1070714,171858,13849431,9543429,4306002
"2025-01-01 00:00:00","MONTANA",461236,480945,507398,19172301,4759958,14412343
"2025-01-01 00:00:00","N. MARIANA ISLANDS",275,274,1,3000,2990,10
"2025-01-01 00:00:00","NEBRASKA",229429,300749,66822,7573516,6297001,1276515
"2025-01-01 00:00:00","NEVADA",150867,108548,56148,5110564,2934108,2176455
"2025-01-01 00:00:00","NEW HAMPSHIRE",172751,141137,57329,6895322,4617004,2278318
"2025-01-01 00:00:00","NEW JERSEY",162075,223245,31487,4958335,4153118,805217
"2025-01-01 00:00:00","NEW MEXICO",214288,435663,186960,6503405,4224021,2279384
"2025-01-01 00:00:00","NEW YORK",857244,960572,217321,21488439,15768405,5720034
"2025-01-01 00:00:00","NORTH CAROLINA",1385718,630783,258117,27605858,21634107,5971751
"2025-01-01 00:00:00","NORTH DAKOTA",196556,144295,57893,3717029,1817206,1899823
"2025-01-01 00:00:00","OHIO",826619,560124,117948,17263259,13808996,3454263
"2025-01-01 00:00:00","OKLAHOMA",613890,247793,123877,11683342,7759284,3924058
"2025-01-01 00:00:00","OREGON",601096,717223,209174,31238685,23060504,8178180
"2025-01-01 00:00:00","PENNSYLVANIA",1060523,1292790,136344,27036572,22714372,4322200
"2025-01-01 00:00:00","PUERTO RICO",0,0,0,,,
"2025-01-01 00:00:00","RHODE ISLAND",58928,63234,23450,1143972,761117,382855
"2025-01-01 00:00:00","SOUTH CAROLINA",517843,549607,145621,6267675,4036069,2231606
"2025-01-01 00:00:00","SOUTH DAKOTA",203474,136203,95584,7100671,3203683,3896988
"2025-01-01 00:00:00","TENNESSEE",875631,839215,191265,21045057,14527797,6517260
"2025-01-01 00:00:00","TEXAS",1925251,2164568,163124,63413138,57198853,6214285
"2025-01-01 00:00:00","U.S. VIRGIN ISLANDS",0,0,0,,,
"2025-01-01 00:00:00","UTAH",498947,402292,123742,17181661,13346159,3835501
"2025-01-01 00:00:00","VERMONT",115018,74910,45141,4027851,2306528,1721323
"2025-01-01 00:00:00","VIRGINIA",559158,894618,100346,29812335,26870919,2941416
"2025-01-01 00:00:00","WASHINGTON",658312,1265095,117741,36428278,31588296,4839982
"2025-01-01 00:00:00","WEST VIRGINIA",308055,556895,157925,5585679,4027503,1558176
"2025-01-01 00:00:00","WISCONSIN",1295764,1268497,413937,33028953,21726372,11302581
"2025-01-01 00:00:00","WYOMING",232783,88162,206416,7781557,1832799,5948758
"2024-01-01 00:00:00","ALABAMA",609962,667611,183209,17921999,11888901,6033097
"2024-01-01 00:00:00","ALASKA",466244,203216,492860,20915174,5097808,15817365
"2024-01-01 00:00:00","AMERICAN SAMOA",0,0,0,,,
"2024-01-01 00:00:00","ARIZONA",414433,341883,104021,14421017,9187339,5233677
"2024-01-01 00:00:00","ARKANSAS",549773,467110,215061,9923689,5057222,4866468
"2024-01-01 00:00:00","CALIFORNIA",1687035,2546453,153944,76895077,72005816,4889261
"2024-01-01 00:00:00","COLORADO",949595,804969,511912,29928665,17593374,12335290
"2024-01-01 00:00:00","CONNECTICUT",147762,277217,23636,4524679,3833644,691035
"2024-01-01 00:00:00","DELAWARE",85779,64866,47817,1568732,658966,909765
"2024-01-01 00:00:00","DISTRICT OF COLUMBIA",7264,1634,5630,87425,16406,71019
"2024-01-01 00:00:00","FLORIDA",1720836,1577905,917665,47341420,21587440,25753980
"2024-01-01 00:00:00","GEORGIA",1114640,1382144,221189,15747703,12429167,3318536
"2024-01-01 00:00:00","GUAM",0,0,0,,,
"2024-01-01 00:00:00","HAWAII",3413,3741,883,25541,15306,10235
"2024-01-01 00:00:00","IDAHO",557974,637839,247744,18358838,8117593,10241245
"2024-01-01 00:00:00","ILLINOIS",618921,660604,62997,8342403,6974222,1368181
"2024-01-01 00:00:00","INDIANA",570322,418935,59736,7874092,6421404,1452688
"2024-01-01 00:00:00","IOWA",353931,342364,62449,10018528,8098781,1919747
"2024-01-01 00:00:00","KANSAS",290068,212800,51805,6689831,5186603,1503228
"2024-01-01 00:00:00","KENTUCKY",554152,504336,85347,11387851,8439516,2948335
"2024-01-01 00:00:00","LOUISIANA",736070,654998,202144,11113122,6963549,4149573
"2024-01-01 00:00:00","MAINE",367124,198344,92604,9394339,5607984,3786355
"2024-01-01 00:00:00","MARYLAND",301530,353670,99405,8893543,6422079,2471464
"2024-01-01 00:00:00","MASSACHUSETTS",273849,412127,50101,6947055,6161962,785093
"2024-01-01 00:00:00","MICHIGAN",1154958,939165,252180,29831447,20555755,9275692
"2024-01-01 00:00:00","MINNESOTA",1421560,1219987,377439,38469076,25092611,13376465
"2024-01-01 00:00:00","MISSISSIPPI",319916,324082,72959,6331666,4403635,1928031
"2024-01-01 00:00:00","MISSOURI",769458,1134532,183428,14724105,10102676,4621429
"2024-01-01 00:00:00","MONTANA",459939,738310,739575,22968713,6321001,16647712
"2024-01-01 00:00:00","N. MARIANA ISLANDS",79,79,0,1115,1115,
"2024-01-01 00:00:00","NEBRASKA",241835,297392,76675,8004692,6539874,1464818
"2024-01-01 00:00:00","NEVADA",162548,120014,60383,5473787,3247302,2226484
"2024-01-01 00:00:00","NEW HAMPSHIRE",180404,147695,60982,7402413,4960086,2442326
"2024-01-01 00:00:00","NEW JERSEY",194128,270644,30655,5791962,5009608,782354
"2024-01-01 00:00:00","NEW MEXICO",263422,537760,229300,8335016,5548815,2786201
"2024-01-01 00:00:00","NEW YORK",884664,973556,215688,21770145,15994618,5775527
"2024-01-01 00:00:00","NORTH CAROLINA",1404125,664166,275808,28658118,22333991,6324127
"2024-01-01 00:00:00","NORTH DAKOTA",209053,150058,64712,4027973,1902877,2125096
"2024-01-01 00:00:00","OHIO",839329,624067,136204,19983322,16323504,3659818
"2024-01-01 00:00:00","OKLAHOMA",630807,529358,101449,13064637,7932211,5132426
"2024-01-01 00:00:00","OREGON",640655,767851,217658,33462943,24848717,8614226
"2024-01-01 00:00:00","PENNSYLVANIA",1114744,1410347,141671,30308912,25749784,4559128
"2024-01-01 00:00:00","PUERTO RICO",0,0,0,,,
"2024-01-01 00:00:00","RHODE ISLAND",96703,78586,37418,878138,738790,139348
"2024-01-01 00:00:00","SOUTH CAROLINA",577416,576553,230871,6360006,4038668,2321338
"2024-01-01 00:00:00","SOUTH DAKOTA",237457,145859,104949,7537446,3389801,4147645
"2024-01-01 00:00:00","TENNESSEE",982700,914089,388475,37932481,24578552,13353929
"2024-01-01 00:00:00","TEXAS",1989010,2240664,172297,65959728,59533884,6425844
"2024-01-01 00:00:00","U.S. VIRGIN ISLANDS",0,0,0,,,
"2024-01-01 00:00:00","UTAH",517540,406089,140144,17310581,12902471,4408110
"2024-01-01 00:00:00","VERMONT",122922,82754,45323,4190940,2481926,1709014
"2024-01-01 00:00:00","VIRGINIA",559013,874526,101835,28472390,25600090,2872300
"2024-01-01 00:00:00","WASHINGTON",716371,1331287,158019,37046370,31824343,5222027
"2024-01-01 00:00:00","WEST VIRGINIA",319178,595019,173271,6203706,4481736,1721970
"2024-01-01 00:00:00","WISCONSIN",1366447,1323152,448237,34623011,22476419,12146592
"2024-01-01 00:00:00","WYOMING",250870,92352,231511,8580741,1963686,6617055
"2023-01-01 00:00:00","ALABAMA",623287,679199,175412,18396400,12395455,6000945
"2023-01-01 00:00:00","ALASKA",283646,250794,184899,15323954,5052274,10271680
"2023-01-01 00:00:00","AMERICAN SAMOA",0,0,0,,,
"2023-01-01 00:00:00","ARIZONA",515539,441034,107082,16485643,11477446,5008197
"2023-01-01 00:00:00","ARKANSAS",543860,480391,227057,10522147,5359849,5162298
"2023-01-01 00:00:00","CALIFORNIA",1757685,2620988,143851,79395897,74783482,4612415
"2023-01-01 00:00:00","COLORADO",1048260,949665,513546,33113665,20909442,12204223
"2023-01-01 00:00:00","CONNECTICUT",169484,298887,21110,5218813,4576699,642115
"2023-01-01 00:00:00","DELAWARE",92120,72888,45954,1649417,740376,909041
"2023-01-01 00:00:00","DISTRICT OF COLUMBIA",7814,2090,5724,97592,21400,76192
"2023-01-01 00:00:00","FLORIDA",1743139,1713983,865659,48061363,23574539,24486824
"2023-01-01 00:00:00","GEORGIA",1083120,1406324,229682,16378050,13043936,3334114
"2023-01-01 00:00:00","GUAM",0,0,0,,,
"2023-01-01 00:00:00","HAWAII",4386,4637,427,24677,18882,5795
"2023-01-01 00:00:00","IDAHO",563531,831644,287366,22375001,13148430,9226571
"2023-01-01 00:00:00","ILLINOIS",701088,754972,51369,9685575,8431538,1254036
"2023-01-01 00:00:00","INDIANA",607365,471343,64261,9030392,7469256,1561136
"2023-01-01 00:00:00","IOWA",401686,464172,63057,12806676,10832593,1974083
"2023-01-01 00:00:00","KANSAS",318632,255423,47537,7783710,6254600,1529109
"2023-01-01 00:00:00","KENTUCKY",593612,553348,77907,12554687,9813549,2741138
"2023-01-01 00:00:00","LOUISIANA",775308,728509,246172,11686258,7080481,4605777
"2023-01-01 00:00:00","MAINE",328989,182892,74218,8295352,5160800,3134552
"2023-01-01 00:00:00","MARYLAND",322170,380932,94708,9421852,7018793,2403059
"2023-01-01 00:00:00","MASSACHUSETTS",281707,498233,54239,6386172,5604551,781621
"2023-01-01 00:00:00","MICHIGAN",1190933,998507,231969,31365241,22712217,8653024
"2023-01-01 00:00:00","MINNESOTA",1525029,1362407,354080,41161771,28303597,12858174
"2023-01-01 00:00:00","MISSISSIPPI",325350,332775,72148,6526617,4601742,1924876
"2023-01-01 00:00:00","MISSOURI",746389,1090040,156901,14066325,10001329,4064996
"2023-01-01 00:00:00","MONTANA",456764,796375,609794,21387642,7057122,14330520
"2023-01-01 00:00:00","N. MARIANA ISLANDS",574,574,0,5877,5877,
"2023-01-01 00:00:00","NEBRASKA",266741,379177,92305,8986518,7463073,1523445
"2023-01-01 00:00:00","NEVADA",183421,149805,61014,6179965,4006890,2173075
"2023-01-01 00:00:00","NEW HAMPSHIRE",191034,160845,63314,8185744,5614049,2571695
"2023-01-01 00:00:00","NEW JERSEY",193618,272856,28443,5930499,5178582,751917
"2023-01-01 00:00:00","NEW MEXICO",250954,552090,186468,8185946,5950785,2235161
"2023-01-01 00:00:00","NEW YORK",911677,1015693,189220,23375238,17361622,6013616
"2023-01-01 00:00:00","NORTH CAROLINA",1487575,710655,287574,29562489,22819832,6742656
"2023-01-01 00:00:00","NORTH DAKOTA",226654,162196,67586,4437198,2136770,2300428
"2023-01-01 00:00:00","OHIO",909854,797174,108543,24158635,21091636,3066999
"2023-01-01 00:00:00","OKLAHOMA",761573,337947,141286,13214129,8696473,4517656
"2023-01-01 00:00:00","OREGON",650307,762544,190796,31960429,24349078,7611352
"2023-01-01 00:00:00","PENNSYLVANIA",1146972,1512369,127898,32057884,27845454,4212430
"2023-01-01 00:00:00","PUERTO RICO",0,0,0,,,
"2023-01-01 00:00:00","RHODE ISLAND",68406,92551,20965,1051143,752356,298787
"2023-01-01 00:00:00","SOUTH CAROLINA",603247,593097,193964,7806764,4341888,3464875
"2023-01-01 00:00:00","SOUTH DAKOTA",247186,159498,94308,7786530,3804627,3981902
"2023-01-01 00:00:00","TENNESSEE",923447,847688,214541,26014586,18449726,7564859
"2023-01-01 00:00:00","TEXAS",2099153,2377009,167295,71482515,65197983,6284532
"2023-01-01 00:00:00","U.S. VIRGIN ISLANDS",0,0,0,,,
"2023-01-01 00:00:00","UTAH",604287,482319,158866,19562171,14711170,4851001
"2023-01-01 00:00:00","VERMONT",124898,93017,37221,4454205,2962838,1491366
"2023-01-01 00:00:00","VIRGINIA",595755,899540,107310,29048021,25861953,3186068
"2023-01-01 00:00:00","WASHINGTON",789966,1542832,125802,42223004,37441764,4781240
"2023-01-01 00:00:00","WEST VIRGINIA",290967,534183,147418,5484382,4027606,1456776
"2023-01-01 00:00:00","WISCONSIN",1434816,1405735,427850,35903695,24002985,11900710
"2023-01-01 00:00:00","WYOMING",268606,119791,227271,9148336,2554868,6593468
"2022-01-01 00:00:00","ALABAMA",645248,692227,149770,17333265,11733817,5599447
"2022-01-01 00:00:00","ALASKA",433086,225510,361549,23376104,4779113,18596991
"2022-01-01 00:00:00","AMERICAN SAMOA",0,0,0,,,
"2022-01-01 00:00:00","ARIZONA",440200,355880,94499,14312022,9702523,4609499
"2022-01-01 00:00:00","ARKANSAS",568027,494337,174265,9663303,5575099,4088204
"2022-01-01 00:00:00","CALIFORNIA",1599567,2324596,157737,70341002,65536014,4804988
"2022-01-01 00:00:00","COLORADO",885749,775127,460097,27094151,16109262,10984889
"2022-01-01 00:00:00","CONNECTICUT",143542,275815,20977,4560723,3944403,616320
"2022-01-01 00:00:00","DELAWARE",87243,64583,46009,1645334,703073,942261
"2022-01-01 00:00:00","DISTRICT OF COLUMBIA",7630,1542,6088,85196,16357,68839
"2022-01-01 00:00:00","FLORIDA",1596400,1621980,682435,43372070,22827941,20544130
"2022-01-01 00:00:00","GEORGIA",1065774,1443506,171769,16312656,13491105,2821551
"2022-01-01 00:00:00","GUAM",0,0,0,,,
"2022-01-01 00:00:00","HAWAII",3618,3127,732,19889,12252,7637
"2022-01-01 00:00:00","IDAHO",511013,752927,287474,17730750,9820127,7910623
"2022-01-01 00:00:00","ILLINOIS",604574,652707,49318,8503969,7310074,1193895
"2022-01-01 00:00:00","INDIANA",502813,381940,55607,7626239,6257163,1369076
"2022-01-01 00:00:00","IOWA",328365,312836,53162,9549316,7879059,1670257
"2022-01-01 00:00:00","KANSAS",242401,189467,33579,5848930,4751504,1097426
"2022-01-01 00:00:00","KENTUCKY",509377,464602,79524,10991841,8142346,2849496
"2022-01-01 00:00:00","LOUISIANA",801672,772662,243451,12262561,7685925,4576636
"2022-01-01 00:00:00","MAINE",334035,182444,85491,8720369,5208075,3512294
"2022-01-01 00:00:00","MARYLAND",287546,343121,90956,9148971,6811822,2337149
"2022-01-01 00:00:00","MASSACHUSETTS",203629,439311,32708,6011989,5417615,594374
"2022-01-01 00:00:00","MICHIGAN",1073782,881407,245825,29663082,21091752,8571330
"2022-01-01 00:00:00","MINNESOTA",1415040,1238367,340439,38721545,26426546,12294998
"2022-01-01 00:00:00","MISSISSIPPI",326571,341281,62856,6275720,4564212,1711508
"2022-01-01 00:00:00","MISSOURI",714054,1050321,169172,12850739,9117801,3732938
"2022-01-01 00:00:00","MONTANA",424807,720113,609020,22627443,6444926,16182516
"2022-01-01 00:00:00","N. MARIANA ISLANDS",585,280,0,3193,3193,
"2022-01-01 00:00:00","NEBRASKA",218186,297398,71143,7300866,6076858,1224008
"2022-01-01 00:00:00","NEVADA",147861,111628,45121,5066206,3108187,1958019
"2022-01-01 00:00:00","NEW HAMPSHIRE",159699,127699,55344,6642963,4390616,2252348
"2022-01-01 00:00:00","NEW JERSEY",166068,228754,26398,5383023,4678173,704850
"2022-01-01 00:00:00","NEW MEXICO",245639,512615,231776,8427697,5536589,2891108
"2022-01-01 00:00:00","NEW YORK",955791,1083276,164884,23930484,18604710,5325774
"2022-01-01 00:00:00","NORTH CAROLINA",1450542,725950,226448,27137810,22002199,5135611
"2022-01-01 00:00:00","NORTH DAKOTA",206098,146816,64844,4266198,1999099,2267099
"2022-01-01 00:00:00","OHIO",828216,744950,125053,17923437,14894240,3029198
"2022-01-01 00:00:00","OKLAHOMA",862720,271146,119808,13255727,9187938,4067789
"2022-01-01 00:00:00","OREGON",624032,873676,242927,28716614,21568406,7148208
"2022-01-01 00:00:00","PENNSYLVANIA",1026122,1249705,127741,25627851,21683654,3944197
"2022-01-01 00:00:00","PUERTO RICO",0,0,0,,,
"2022-01-01 00:00:00","RHODE ISLAND",58345,81833,17978,1038638,793190,245448
"2022-01-01 00:00:00","SOUTH CAROLINA",600672,577453,166367,7572106,4454033,3118072
"2022-01-01 00:00:00","SOUTH DAKOTA",207144,133631,74519,6737773,3290642,3447132
"2022-01-01 00:00:00","TENNESSEE",891247,718845,163338,19480826,13409496,6071330
"2022-01-01 00:00:00","TEXAS",2104641,2430567,137340,74840032,69444990,5395042
"2022-01-01 00:00:00","U.S. VIRGIN ISLANDS",0,0,0,,,
"2022-01-01 00:00:00","UTAH",503276,402851,130274,20266089,15240531,5025558
"2022-01-01 00:00:00","VERMONT",115391,76092,43483,3769374,2129972,1639402
"2022-01-01 00:00:00","VIRGINIA",618383,859739,89835,27533487,24852525,2680963
"2022-01-01 00:00:00","WASHINGTON",728467,1352297,119584,37797327,34270906,3526422
"2022-01-01 00:00:00","WEST VIRGINIA",253461,516812,149379,5987872,4501876,1485996
"2022-01-01 00:00:00","WISCONSIN",1287890,1228785,406369,35196375,26006948,9189427
"2022-01-01 00:00:00","WYOMING",242070,107603,208380,8132868,2315141,5817727
"2021-01-01 00:00:00","ALABAMA",591057,609589,143334,16494178,10948641,5545538
"2021-01-01 00:00:00","ALASKA",432758,217695,411044,27069099,4982211,22086888
"2021-01-01 00:00:00","AMERICAN SAMOA",0,0,0,,,
"2021-01-01 00:00:00","ARIZONA",418579,334456,93915,14582502,9814954,4767548
"2021-01-01 00:00:00","ARKANSAS",523324,441438,186695,13867263,4859195,9008068
"2021-01-01 00:00:00","CALIFORNIA",1610505,2330236,156692,73171848,68302069,4869779
"2021-01-01 00:00:00","COLORADO",838966,827564,469506,22508453,13242520,9265934
"2021-01-01 00:00:00","CONNECTICUT",144910,276264,19798,4908772,4278302,630470
"2021-01-01 00:00:00","DELAWARE",81796,61226,36985,1545408,723028,822380
"2021-01-01 00:00:00","DISTRICT OF COLUMBIA",6525,1517,5008,91222,17239,73983
"2021-01-01 00:00:00","FLORIDA",1566816,1475599,722445,45321554,22681391,22640163
"2021-01-01 00:00:00","GEORGIA",1116830,1275569,168472,14987247,12212310,2774936
"2021-01-01 00:00:00","GUAM",0,0,0,,,
"2021-01-01 00:00:00","HAWAII",4437,3815,885,26988,17601,9387
