State,Year,Impact Type,Imports,Impact Value,Notes,Sector
Alabama,2022,#Jobs,With Imports,"2,239",,Seafood Processors & Dealers
Alabama,2022,#Jobs,With Imports,"3,130",,Retail
Alabama,2022,#Jobs,With Imports,"6,971",,Total Impacts
Alabama,2022,#Jobs,With Imports,134,,Seafood Wholesalers & Distributors
Alabama,2022,#Jobs,With Imports,553,,Importers
Alabama,2022,#Jobs,With Imports,916,,Commercial Harvesters
Alabama,2022,#Jobs,Without Imports,"3,007",,Retail
Alabama,2022,#Jobs,Without Imports,"4,917",,Total Impacts
Alabama,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Alabama,2022,#Jobs,Without Imports,112,,Seafood Wholesalers & Distributors
Alabama,2022,#Jobs,Without Imports,882,,Seafood Processors & Dealers
Alabama,2022,#Jobs,Without Imports,916,,Commercial Harvesters
Alabama,2022,Income,With Imports,"13,002,079",,Commercial Harvesters
Alabama,2022,Income,With Imports,"139,903,979",,Total Impacts
Alabama,2022,Income,With Imports,"2,198,407",,Seafood Wholesalers & Distributors
Alabama,2022,Income,With Imports,"24,375,151",,Importers
Alabama,2022,Income,With Imports,"45,175,981",,Retail
Alabama,2022,Income,With Imports,"55,152,361",,Seafood Processors & Dealers
Alabama,2022,Income,Without Imports,"1,847,887",,Seafood Wholesalers & Distributors
Alabama,2022,Income,Without Imports,"13,002,079",,Commercial Harvesters
Alabama,2022,Income,Without Imports,"21,729,853",,Seafood Processors & Dealers
Alabama,2022,Income,Without Imports,"43,382,239",,Retail
Alabama,2022,Income,Without Imports,"79,962,057",,Total Impacts
Alabama,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Alabama,2022,Sales,With Imports,"101,117,125",,Retail
Alabama,2022,Sales,With Imports,"140,801,051",,Seafood Processors & Dealers
Alabama,2022,Sales,With Imports,"152,088,921",,Importers
Alabama,2022,Sales,With Imports,"42,648,349",,Commercial Harvesters
Alabama,2022,Sales,With Imports,"442,926,654",,Total Impacts
Alabama,2022,Sales,With Imports,"6,271,208",,Seafood Wholesalers & Distributors
Alabama,2022,Sales,Without Imports,"200,504,195",,Total Impacts
Alabama,2022,Sales,Without Imports,"42,648,349",,Commercial Harvesters
Alabama,2022,Sales,Without Imports,"5,271,310",,Seafood Wholesalers & Distributors
Alabama,2022,Sales,Without Imports,"55,475,161",,Seafood Processors & Dealers
Alabama,2022,Sales,Without Imports,"97,109,376",,Retail
Alabama,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Alabama,2022,Value Added,With Imports,"19,064,064",,Commercial Harvesters
Alabama,2022,Value Added,With Imports,"195,934,267",,Total Impacts
Alabama,2022,Value Added,With Imports,"2,831,814",,Seafood Wholesalers & Distributors
Alabama,2022,Value Added,With Imports,"46,363,362",,Importers
Alabama,2022,Value Added,With Imports,"57,588,654",,Retail
Alabama,2022,Value Added,With Imports,"70,086,373",,Seafood Processors & Dealers
Alabama,2022,Value Added,Without Imports,"104,360,260",,Total Impacts
Alabama,2022,Value Added,Without Imports,"19,064,064",,Commercial Harvesters
Alabama,2022,Value Added,Without Imports,"2,380,302",,Seafood Wholesalers & Distributors
Alabama,2022,Value Added,Without Imports,"27,613,805",,Seafood Processors & Dealers
Alabama,2022,Value Added,Without Imports,"55,302,089",,Retail
Alabama,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Alaska,2022,#Jobs,With Imports,"16,045",,Seafood Processors & Dealers
Alaska,2022,#Jobs,With Imports,"3,859",,Retail
Alaska,2022,#Jobs,With Imports,"53,938",,Commercial Harvesters
Alaska,2022,#Jobs,With Imports,"74,424",,Total Impacts
Alaska,2022,#Jobs,With Imports,493,,Seafood Wholesalers & Distributors
Alaska,2022,#Jobs,With Imports,89,,Importers
Alaska,2022,#Jobs,Without Imports,"16,020",,Seafood Processors & Dealers
Alaska,2022,#Jobs,Without Imports,"3,835",,Retail
Alaska,2022,#Jobs,Without Imports,"53,938",,Commercial Harvesters
Alaska,2022,#Jobs,Without Imports,"74,270",,Total Impacts
Alaska,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Alaska,2022,#Jobs,Without Imports,477,,Seafood Wholesalers & Distributors
Alaska,2022,Income,With Imports,"1,628,895,772",,Commercial Harvesters
Alaska,2022,Income,With Imports,"17,610,848",,Seafood Wholesalers & Distributors
Alaska,2022,Income,With Imports,"2,291,049,672",,Total Impacts
Alaska,2022,Income,With Imports,"3,942,520",,Importers
Alaska,2022,Income,With Imports,"562,365,768",,Seafood Processors & Dealers
Alaska,2022,Income,With Imports,"78,234,764",,Retail
Alaska,2022,Income,Without Imports,"1,628,895,772",,Commercial Harvesters
Alaska,2022,Income,Without Imports,"17,025,596",,Seafood Wholesalers & Distributors
Alaska,2022,Income,Without Imports,"2,285,079,721",,Total Impacts
Alaska,2022,Income,Without Imports,"561,483,438",,Seafood Processors & Dealers
Alaska,2022,Income,Without Imports,"77,674,915",,Retail
Alaska,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Alaska,2022,Sales,With Imports,"1,288,715,364",,Seafood Processors & Dealers
Alaska,2022,Sales,With Imports,"176,781,788",,Retail
Alaska,2022,Sales,With Imports,"24,599,382",,Importers
Alaska,2022,Sales,With Imports,"3,563,486,945",,Commercial Harvesters
Alaska,2022,Sales,With Imports,"5,105,017,560",,Total Impacts
Alaska,2022,Sales,With Imports,"51,434,080",,Seafood Wholesalers & Distributors
Alaska,2022,Sales,Without Imports,"1,286,697,862",,Seafood Processors & Dealers
Alaska,2022,Sales,Without Imports,"175,573,771",,Retail
Alaska,2022,Sales,Without Imports,"3,563,486,945",,Commercial Harvesters
Alaska,2022,Sales,Without Imports,"49,724,799",,Seafood Wholesalers & Distributors
Alaska,2022,Sales,Without Imports,"5,075,483,377",,Total Impacts
Alaska,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Alaska,2022,Value Added,With Imports,"100,328,004",,Retail
Alaska,2022,Value Added,With Imports,"2,007,888,195",,Commercial Harvesters
Alaska,2022,Value Added,With Imports,"2,835,954,796",,Total Impacts
Alaska,2022,Value Added,With Imports,"22,996,444",,Seafood Wholesalers & Distributors
Alaska,2022,Value Added,With Imports,"697,243,184",,Seafood Processors & Dealers
Alaska,2022,Value Added,With Imports,"7,498,969",,Importers
Alaska,2022,Value Added,Without Imports,"2,007,888,195",,Commercial Harvesters
Alaska,2022,Value Added,Without Imports,"2,825,890,194",,Total Impacts
Alaska,2022,Value Added,Without Imports,"22,232,215",,Seafood Wholesalers & Distributors
Alaska,2022,Value Added,Without Imports,"696,150,902",,Seafood Processors & Dealers
Alaska,2022,Value Added,Without Imports,"99,618,881",,Retail
Alaska,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
California,2022,#Jobs,With Imports,"17,050",,Seafood Wholesalers & Distributors
California,2022,#Jobs,With Imports,"187,519",,Total Impacts
California,2022,#Jobs,With Imports,"4,493",,Commercial Harvesters
California,2022,#Jobs,With Imports,"6,332",,Seafood Processors & Dealers
California,2022,#Jobs,With Imports,"73,223",,Retail
California,2022,#Jobs,With Imports,"86,421",,Importers
California,2022,#Jobs,Without Imports,"1,817",,Seafood Processors & Dealers
California,2022,#Jobs,Without Imports,"15,195",,Total Impacts
California,2022,#Jobs,Without Imports,"4,493",,Commercial Harvesters
California,2022,#Jobs,Without Imports,"8,250",,Retail
California,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
California,2022,#Jobs,Without Imports,636,,Seafood Wholesalers & Distributors
California,2022,Income,With Imports,"1,662,514,390",,Retail
California,2022,Income,With Imports,"145,475,572",,Commercial Harvesters
California,2022,Income,With Imports,"240,121,869",,Seafood Processors & Dealers
