year,region,pounds,dollars,sector,annual,cpi_adjustment_factor,dollars_adjusted,council_id,council_name
2023,South Atlantic,97538716.0,171271020.0,Commercial,304.702,1.0,171271020.0,3,South Atlantic
2023,Pacific Coast,865173365.0,621488827.0,Commercial,304.702,1.0,621488827.0,5,Pacific
2023,New England,415966992.0,1350533650.0,Commercial,304.702,1.0,1350533650.0,1,New England
2023,Middle Atlantic,494771745.0,404779243.0,Commercial,304.702,1.0,404779243.0,2,Mid-Atlantic
2023,Hawaii,28921571.0,124046295.0,Commercial,304.702,1.0,124046295.0,8,Western Pacific
2023,Gulf,1265729615.0,794374981.0,Commercial,304.702,1.0,794374981.0,4,Gulf of Mexico
2023,Alaska,5282176253.0,1613434289.0,Commercial,304.702,1.0,1613434289.0,6,North Pacific
2022,South Atlantic,91047587.0,173383793.0,Commercial,292.655,1.0411645111137688,180521052.0738959,3,South Atlantic
2022,Pacific Coast,1041682743.0,711517989.0,Commercial,292.655,1.0411645111137688,740807279.1658369,5,Pacific
2022,New England,428437642.0,1415570606.0,Commercial,292.655,1.0411645111137688,1473841877.9430115,1,New England
2022,Middle Atlantic,506980668.0,415107120.0,Commercial,292.655,1.0411645111137688,432194801.65464455,2,Mid-Atlantic
2022,Hawaii,29185479.0,135159775.0,Commercial,292.655,1.0411645111137688,140723561.06012198,8,Western Pacific
2022,Gulf,1381227364.0,913107354.0,Commercial,292.655,1.0411645111137688,950694971.821797,4,Gulf of Mexico
2022,Alaska,4818064002.0,2074780279.0,Commercial,292.655,1.0411645111137688,2160187594.8535237,6,North Pacific
2021,South Atlantic,96217606.0,206983351.0,Commercial,270.97,1.1244861054729305,232749902.2637266,3,South Atlantic
2021,Pacific Coast,963951610.0,742647698.0,Commercial,270.97,1.1244861054729305,835097017.662457,5,Pacific
2021,New England,501255108.0,1954589161.0,Commercial,270.97,1.1244861054729305,2197908353.4524927,1,New England
2021,Middle Atlantic,568491605.0,509688852.0,Commercial,270.97,1.1244861054729305,573138032.1884489,2,Mid-Atlantic
2021,Hawaii,29636997.0,129108026.0,Commercial,270.97,1.1244861054729305,145180181.34203786,8,Western Pacific
2021,Gulf,1140663242.0,923053756.0,Commercial,270.97,1.1244861054729305,1037961123.2266006,4,Gulf of Mexico
2021,Alaska,5272136213.0,2049565003.0,Commercial,270.97,1.1244861054729305,2304707368.137085,6,North Pacific
2020,South Atlantic,103494057.0,184091953.0,Commercial,258.811,1.177314720008037,216734166.1019277,3,South Atlantic
2020,Pacific Coast,936767819.0,554792661.0,Commercial,258.811,1.177314720008037,653165566.3477287,5,Pacific
2020,New England,485044467.0,1210205248.0,Commercial,258.811,1.177314720008037,1424792452.701377,1,New England
2020,Middle Atlantic,559394206.0,536136210.0,Commercial,258.811,1.177314720008037,631201051.9623201,2,Mid-Atlantic
2020,Hawaii,27261494.0,83828568.0,Commercial,258.811,1.177314720008037,98692607.06359468,8,Western Pacific
2020,Gulf,1221271981.0,755359050.0,Commercial,258.811,1.177314720008037,889295328.4562868,4,Gulf of Mexico
2020,Alaska,5061552232.0,1504910109.0,Commercial,258.811,1.177314720008037,1771752823.6145995,6,North Pacific
2019,South Atlantic,118328871.0,201555185.0,Commercial,255.657,1.1918390656230808,240221343.3618872,3,South Atlantic
2019,Pacific Coast,1006433198.0,646336225.0,Commercial,255.657,1.1918390656230808,770328762.4823494,5,Pacific
2019,New England,516480194.0,1505463904.0,Commercial,255.657,1.1918390656230808,1794270692.6726356,1,New England
2019,Middle Atlantic,644739061.0,498276219.0,Commercial,255.657,1.1918390656230808,593865063.2751616,2,Mid-Atlantic
2019,Hawaii,34732450.0,109653295.0,Commercial,255.657,1.1918390656230808,130689080.65529205,8,Western Pacific
2019,Gulf,1413255885.0,828866977.0,Commercial,255.657,1.1918390656230808,987876043.3935076,4,Gulf of Mexico
2019,Alaska,5631389035.0,1754110799.0,Commercial,255.657,1.1918390656230808,2090617775.6795158,6,North Pacific
2018,South Atlantic,97338302.0,175837730.0,Commercial,251.107,1.2134349102175566,213367640.11540896,3,South Atlantic
2018,Pacific Coast,1099864127.0,732678572.0,Commercial,251.107,1.2134349102175566,889057757.2331475,5,Pacific
2018,New England,596572971.0,1454536596.0,Commercial,251.107,1.2134349102175566,1764985483.7754104,1,New England
2018,Middle Atlantic,629586129.0,478005701.0,Commercial,251.107,1.2134349102175566,580028804.8764151,2,Mid-Atlantic
2018,Hawaii,35636347.0,118795859.0,Commercial,251.107,1.2134349102175566,144151042.49988252,8,Western Pacific
2018,Gulf,1543096907.0,890570943.0,Commercial,251.107,1.2134349102175566,1080649872.2615697,4,Gulf of Mexico
2018,Great Lakes,11798048.0,15226239.0,Commercial,251.107,1.2134349102175566,18476049.953916058,9,Great Lakes
2018,Alaska,5406034809.0,1717154156.0,Commercial,251.107,1.2134349102175566,2083654799.115564,6,North Pacific
2017,South Atlantic,111091646.0,204184399.0,Commercial,245.12,1.243072780678851,253816068.63617003,3,South Atlantic
2017,Pacific Coast,1187267275.0,736788178.0,Commercial,245.12,1.243072780678851,915881329.1977643,5,Pacific
2017,New England,578961144.0,1334207076.0,Commercial,245.12,1.243072780678851,1658516499.9647193,1,New England
2017,Middle Atlantic,617702905.0,510747958.0,Commercial,245.12,1.243072780678851,634896884.377105,2,Mid-Atlantic
2017,Hawaii,37420179.0,116550356.0,Commercial,245.12,1.243072780678851,144880575.12203002,8,Western Pacific
2017,Gulf,1401487200.0,872814049.0,Commercial,245.12,1.243072780678851,1084971386.905997,4,Gulf of Mexico
2017,Great Lakes,12943410.0,17716445.0,Commercial,245.12,1.243072780678851,22022830.549893927,9,Great Lakes
2017,Alaska,6006230879.0,2003021420.0,Commercial,245.12,1.243072780678851,2489901406.318701,6,North Pacific
2016,South Atlantic,106885656.0,190483241.0,Commercial,240.007,1.2695546379897253,241828882.07086462,3,South Atlantic
2016,Pacific Coast,958224519.0,726102114.0,Commercial,240.007,1.2695546379897253,921826306.4828442,5,Pacific
2016,New England,624389257.0,1431099813.0,Commercial,240.007,1.2695546379897253,1816859405.0203786,1,New England
2016,Middle Atlantic,589320973.0,550650013.0,Commercial,240.007,1.2695546379897253,699080277.9132526,2,Mid-Atlantic
2016,Hawaii,35054961.0,118148142.0,Commercial,240.007,1.2695546379897253,149995521.64596868,8,Western Pacific
2016,Gulf,1737121436.0,890086294.0,Commercial,240.007,1.2695546379897253,1130013182.7587862,4,Gulf of Mexico
2016,Great Lakes,13351428.0,16779673.0,Commercial,240.007,1.2695546379897253,21302711.68110097,9,Great Lakes
2016,Alaska,5585909187.0,1550842117.0,Commercial,240.007,1.2695546379897253,1968878802.4271543,6,North Pacific
2015,South Atlantic,115578135.0,201201514.0,Commercial,237.017,1.2855702333587886,258658677.30512157,3,South Atlantic
2015,Pacific Coast,761705190.0,587903719.0,Commercial,237.017,1.2855702333587886,755791521.2273297,5,Pacific
2015,New England,608514141.0,1278116765.0,Commercial,237.017,1.2855702333587886,1643108867.84083,1,New England
2015,Middle Atlantic,644387047.0,527713500.0,Commercial,237.017,1.2855702333587886,678412767.3415831,2,Mid-Atlantic
2015,Hawaii,36647567.0,111029236.0,Commercial,237.017,1.2855702333587886,142735880.83416802,8,Western Pacific
2015,Gulf,1553292149.0,853706070.0,Commercial,237.017,1.2855702333587886,1097499111.6297143,4,Gulf of Mexico
2015,Great Lakes,14754908.0,19162932.0,Commercial,237.017,1.2855702333587886,24635294.9630786,9,Great Lakes
2015,Alaska,6014135661.0,1767789837.0,Commercial,237.017,1.2855702333587886,2272617993.281385,6,North Pacific
2014,South Atlantic,115277179.0,193529190.0,Commercial,236.736,1.287096174641795,249090680.13052514,3,South Atlantic
