state,fips,year,pop
Alabama,1,1971,3497076
Alabama,1,1972,3539400
Alabama,1,1973,3579780
Alabama,1,1974,3626499
Alabama,1,1975,3678814
Alabama,1,1976,3735139
Alabama,1,1977,3780403
Alabama,1,1978,3831836
Alabama,1,1979,3866248
Alabama,1,1980,3898816.6
Alabama,1,1981,3918531
Alabama,1,1982,3925266
Alabama,1,1983,3934102
Alabama,1,1984,3951820
Alabama,1,1985,3972523
Alabama,1,1986,3991569
Alabama,1,1987,4015264
Alabama,1,1988,4023844
Alabama,1,1989,4030222
Alabama,1,1990,4048508
Alabama,1,1991,4091025
Alabama,1,1992,4139269
Alabama,1,1993,4193114
Alabama,1,1994,4232965
Alabama,1,1995,4262731
Alabama,1,1996,4290403
Alabama,1,1997,4320281
Alabama,1,1998,4351037
Alabama,1,1999,4369862
Alabama,1,2000,4452173
Alabama,1,2001,4467634
Alabama,1,2002,4480089
Alabama,1,2003,4503491
Alabama,1,2004,4530729
Alabama,1,2005,4569805
Alabama,1,2006,4628981
Alabama,1,2007,4672840
Alabama,1,2008,4718206
Alabama,1,2009,4757938
Alabama,1,2010,4785579
Alabama,1,2011,4798649
Alabama,1,2012,4813946
Alabama,1,2013,4827660
Alabama,1,2014,4840037
Alabama,1,2015,4850858
Alabama,1,2016,4860545
Alabama,1,2017,4874747
Alaska,2,1971,315510
Alaska,2,1972,324464
Alaska,2,1973,330543
Alaska,2,1974,341063
Alaska,2,1975,376170
Alaska,2,1976,400969
Alaska,2,1977,403436
Alaska,2,1978,404766
Alaska,2,1979,402753
Alaska,2,1980,405179
Alaska,2,1981,418491
Alaska,2,1982,449606
Alaska,2,1983,488417
Alaska,2,1984,513702
Alaska,2,1985,532495
Alaska,2,1986,544268
Alaska,2,1987,539309
Alaska,2,1988,541983
Alaska,2,1989,547159
Alaska,2,1990,553120
Alaska,2,1991,569273
Alaska,2,1992,587073
Alaska,2,1993,596993
Alaska,2,1994,600624
Alaska,2,1995,601345
Alaska,2,1996,604918
Alaska,2,1997,608846
Alaska,2,1998,615205
Alaska,2,1999,619500
Alaska,2,2000,627963
Alaska,2,2001,633714
Alaska,2,2002,642337
Alaska,2,2003,648414
Alaska,2,2004,659286
Alaska,2,2005,666946
Alaska,2,2006,675302
Alaska,2,2007,680300
Alaska,2,2008,687455
Alaska,2,2009,698895
Alaska,2,2010,714015
Alaska,2,2011,722259
Alaska,2,2012,730825
Alaska,2,2013,736760
Alaska,2,2014,736759
Alaska,2,2015,737979
Alaska,2,2016,741522
Alaska,2,2017,739795
Arizona,4,1971,1895814
Arizona,4,1972,2008291
Arizona,4,1973,2124438
Arizona,4,1974,2223196
Arizona,4,1975,2284847
Arizona,4,1976,2346157
Arizona,4,1977,2425197
Arizona,4,1978,2515316
Arizona,4,1979,2635571
Arizona,4,1980,2736593.4
Arizona,4,1981,2810107
Arizona,4,1982,2889861
Arizona,4,1983,2968925
Arizona,4,1984,3067135
Arizona,4,1985,3183538
Arizona,4,1986,3308262
Arizona,4,1987,3437103
Arizona,4,1988,3535183
Arizona,4,1989,3622185
Arizona,4,1990,3679056
Arizona,4,1991,3762394
Arizona,4,1992,3867333
Arizona,4,1993,3993390
Arizona,4,1994,4147561
Arizona,4,1995,4306908
Arizona,4,1996,4432308
Arizona,4,1997,4552207
Arizona,4,1998,4667277
Arizona,4,1999,4778332
Arizona,4,2000,5160586
Arizona,4,2001,5273477
Arizona,4,2002,5396255
Arizona,4,2003,5510364
Arizona,4,2004,5652404
Arizona,4,2005,5839077
Arizona,4,2006,6029141
Arizona,4,2007,6167681
Arizona,4,2008,6280362
Arizona,4,2009,6343154
Arizona,4,2010,6407002
Arizona,4,2011,6465488
Arizona,4,2012,6544211
Arizona,4,2013,6616124
Arizona,4,2014,6706435
Arizona,4,2015,6802262
Arizona,4,2016,6908642
Arizona,4,2017,7016270
Arkansas,5,1971,1972312
Arkansas,5,1972,2018638
Arkansas,5,1973,2059256
Arkansas,5,1974,2101403
Arkansas,5,1975,2159526
Arkansas,5,1976,2170161
Arkansas,5,1977,2209010
Arkansas,5,1978,2243127
Arkansas,5,1979,2271333
Arkansas,5,1980,2287788.2
Arkansas,5,1981,2293201
Arkansas,5,1982,2294257
Arkansas,5,1983,2305761
Arkansas,5,1984,2319768
Arkansas,5,1985,2327046
Arkansas,5,1986,2331984
Arkansas,5,1987,2342355
Arkansas,5,1988,2342656
Arkansas,5,1989,2346358
Arkansas,5,1990,2354343
Arkansas,5,1991,2370666
Arkansas,5,1992,2394098
Arkansas,5,1993,2423743
Arkansas,5,1994,2450605
Arkansas,5,1995,2480121
Arkansas,5,1996,2504858
Arkansas,5,1997,2524007
Arkansas,5,1998,2538202
Arkansas,5,1999,2551373
Arkansas,5,2000,2678588
Arkansas,5,2001,2691571
Arkansas,5,2002,2705927
Arkansas,5,2003,2724816
Arkansas,5,2004,2749686
Arkansas,5,2005,2781097
Arkansas,5,2006,2821761
Arkansas,5,2007,2848650
Arkansas,5,2008,2874554
Arkansas,5,2009,2896843
Arkansas,5,2010,2921737
Arkansas,5,2011,2938640
Arkansas,5,2012,2949208
Arkansas,5,2013,2956780
Arkansas,5,2014,2964800
Arkansas,5,2015,2975626
Arkansas,5,2016,2988231
Arkansas,5,2017,3004279
California,6,1971,20345939
California,6,1972,20585469
California,6,1973,20868728
California,6,1974,21173865
California,6,1975,21537849
California,6,1976,21935909
California,6,1977,22352396
California,6,1978,22835958
California,6,1979,23256880
California,6,1980,23791508.2
California,6,1981,24285933
California,6,1982,24820009
California,6,1983,25360026
California,6,1984,25844393
California,6,1985,26441109
California,6,1986,27102237
California,6,1987,27777158
California,6,1988,28464249
California,6,1989,29218164
California,6,1990,29950111
California,6,1991,30414114
California,6,1992,30875920
California,6,1993,31147208
California,6,1994,31317179
California,6,1995,31493525
California,6,1996,31780829
California,6,1997,32217708
California,6,1998,32682794
California,6,1999,33145121
California,6,2000,33987977
California,6,2001,34479458
California,6,2002,34871843
California,6,2003,35253159
California,6,2004,35574576
California,6,2005,35827943
California,6,2006,36021202
California,6,2007,36250311
California,6,2008,36604337
California,6,2009,36961229
California,6,2010,37327690
California,6,2011,37672654
California,6,2012,38019006
California,6,2013,38347383
California,6,2014,38701278
California,6,2015,39032444
California,6,2016,39296476
California,6,2017,39536653
Colorado,8,1971,2303524
Colorado,8,1972,2404619
Colorado,8,1973,2495868
Colorado,8,1974,2541406
Colorado,8,1975,2586192
Colorado,8,1976,2632306
Colorado,8,1977,2696140
Colorado,8,1978,2766748
Colorado,8,1979,2849234
Colorado,8,1980,2907550.8
Colorado,8,1981,2977898
Colorado,8,1982,3061564
Colorado,8,1983,3133630
Colorado,8,1984,3169992
Colorado,8,1985,3208723
Colorado,8,1986,3237450
Colorado,8,1987,3260480
Colorado,8,1988,3262281
Colorado,8,1989,3275818
Colorado,8,1990,3303862
Colorado,8,1991,3367567
Colorado,8,1992,3459995
Colorado,8,1993,3560884
Colorado,8,1994,3653910
Colorado,8,1995,3738061
Colorado,8,1996,3812716
Colorado,8,1997,3891293
Colorado,8,1998,3968967
Colorado,8,1999,4056133
