Area,Year,Key Species,Number Of Fish,Hr,Notes
Alabama,2013,Atlantic croaker,"2,016,052",R,
Alabama,2013,Atlantic croaker,"860,109",H,
Alabama,2013,Bluefish,"1,553,931",R,
Alabama,2013,Bluefish,"361,926",H,
Alabama,2013,Kingfish,"2,544,888",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2013,Kingfish,"690,980",R,
Alabama,2013,Red drum,"1,129,629",R,
Alabama,2013,Red drum,"450,936",H,
Alabama,2013,Red snapper,"1,477,427",R,
Alabama,2013,Red snapper,"757,047",H,
Alabama,2013,Sand seatrout,"1,077,830",H,
Alabama,2013,Sand seatrout,"600,556",R,
Alabama,2013,Sheepshead,"104,048",R,
Alabama,2013,Sheepshead,"492,760",H,
Alabama,2013,South flounder,"101,983",R,
Alabama,2013,South flounder,"193,674",H,
Alabama,2013,Spanish mackerel,"2,495,610",R,
Alabama,2013,Spanish mackerel,"2,921,254",H,
Alabama,2013,Spotted seatrout,"1,299,327",H,
Alabama,2013,Spotted seatrout,"2,009,069",R,
Alabama,2014,Atlantic croaker,"2,843,586",H,
Alabama,2014,Atlantic croaker,"3,604,827",R,
Alabama,2014,Bluefish,"173,328",H,
Alabama,2014,Bluefish,"722,256",R,
Alabama,2014,Kingfish,"388,961",R,
Alabama,2014,Kingfish,"849,987",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2014,Red drum,"289,885",H,
Alabama,2014,Red drum,"861,316",R,
Alabama,2014,Red snapper,"2,018,352",R,
Alabama,2014,Red snapper,"363,951",H,
Alabama,2014,Sand seatrout,"1,430,859",H,
Alabama,2014,Sand seatrout,"739,979",R,
Alabama,2014,Sheepshead,"335,136",H,
Alabama,2014,Sheepshead,"41,460",R,
Alabama,2014,South flounder,"122,685",H,
Alabama,2014,South flounder,"74,016",R,
Alabama,2014,Spanish mackerel,"162,022",R,
Alabama,2014,Spanish mackerel,"476,570",H,
Alabama,2014,Spotted seatrout,"573,660",H,
Alabama,2014,Spotted seatrout,"580,504",R,
Alabama,2015,Atlantic croaker,"2,003,326",H,
